iter	Passed	Remaining
0	189	188956
1	201	100388
2	214	71212
3	228	56820
4	243	48525
5	257	42622
6	270	38337
7	284	35262
8	299	32959
9	312	30920
10	323	29104
11	336	27696
12	348	26452
13	357	25205
14	369	24260
15	384	23619
16	402	23297
17	419	22873
18	436	22557
19	464	22737
20	480	22386
21	491	21831
22	502	21362
23	516	21005
24	530	20686
25	551	20657
26	606	21859
27	789	27413
28	978	32773
29	1198	38765
30	1315	41128
31	1355	41000
32	1394	40851
33	1462	41550
34	1502	41429
35	1548	41475
36	1595	41516
37	1630	41286
38	1661	40945
39	1804	43311
40	1858	43466
41	1905	43467
42	1945	43291
43	2037	44269
44	2070	43936
45	2102	43602
46	2131	43222
47	2172	43078
48	2216	43023
49	2242	42604
50	2266	42173
51	2285	41668
52	2309	41265
53	2335	40920
54	2363	40615
55	2386	40222
56	2406	39806
57	2436	39567
58	2454	39153
59	2475	38780
60	2489	38314
61	2505	37902
62	2529	37623
63	2550	37307
64	2570	36968
65	2586	36600
66	2627	36584
67	2686	36815
68	2737	36933
69	2775	36869
70	2798	36615
71	2815	36283
72	2831	35950
73	2844	35599
74	2860	35277
75	2878	34992
76	2895	34713
77	2910	34409
78	2929	34151
79	2944	33859
80	2960	33585
81	2979	33352
82	2994	33081
83	3008	32803
84	3024	32557
85	3045	32362
86	3062	32133
87	3077	31898
88	3095	31681
89	3112	31471
90	3129	31264
91	3145	31044
92	3159	30815
93	3175	30608
94	3193	30426
95	3207	30200
96	3220	29976
97	3229	29725
98	3244	29528
99	3258	29327
100	3272	29126
101	3284	28917
102	3294	28693
103	3308	28506
104	3321	28310
105	3333	28112
106	3342	27899
107	3356	27718
108	3370	27554
109	3384	27380
110	3393	27182
111	3405	27002
112	3418	26830
113	3432	26676
114	3446	26519
115	3457	26349
116	3470	26195
117	3484	26048
118	3500	25912
119	3514	25769
120	3525	25612
121	3539	25474
122	3551	25325
123	3567	25202
124	3584	25090
125	3597	24951
126	3607	24799
127	3619	24658
128	3632	24525
129	3647	24412
130	3657	24262
131	3672	24152
132	3688	24043
